,Open,High,Low,Close,Volume,OpenInterest
2020-12-31 09:15:00,275.0,275.0,272.75,274.2,503375.0,0.0
2020-12-31 09:16:00,274.3,274.35,273.7,274.05,290834.0,0.0
2020-12-31 09:17:00,274.0,274.4,274.0,274.1,187960.0,0.0
2020-12-31 09:18:00,274.25,274.25,273.95,274.05,226685.0,0.0
2020-12-31 09:19:00,274.05,274.5,274.0,274.3,148981.0,0.0
2020-12-31 09:20:00,274.3,274.85,274.25,274.6,205860.0,0.0
2020-12-31 09:21:00,274.55,274.8,274.55,274.65,124598.0,0.0
2020-12-31 09:22:00,274.55,274.6,274.2,274.25,162586.0,0.0
2020-12-31 09:23:00,274.3,274.75,274.3,274.7,101657.0,0.0
2020-12-31 09:24:00,274.7,275.35,274.65,275.3,234502.0,0.0
2020-12-31 09:25:00,275.35,275.4,275.1,275.2,259950.0,0.0
2020-12-31 09:26:00,275.2,275.2,274.9,275.0,192780.0,0.0
2020-12-31 09:27:00,275.0,275.15,274.95,275.1,122898.0,0.0
2020-12-31 09:28:00,275.1,275.8,275.05,275.65,241223.0,0.0
2020-12-31 09:29:00,275.65,275.7,275.5,275.5,75712.0,0.0
2020-12-31 09:30:00,275.5,275.65,275.45,275.65,85565.0,0.0
2020-12-31 09:31:00,275.65,276.25,275.55,275.95,204017.0,0.0
2020-12-31 09:32:00,275.9,276.05,275.7,275.8,175431.0,0.0
2020-12-31 09:33:00,275.85,275.85,275.4,275.5,146615.0,0.0
2020-12-31 09:34:00,275.5,275.85,275.45,275.75,70430.0,0.0
2020-12-31 09:35:00,275.75,275.95,275.75,275.9,74703.0,0.0
2020-12-31 09:36:00,275.9,276.15,275.75,276.05,112195.0,0.0
2020-12-31 09:37:00,276.05,276.2,275.8,275.9,111135.0,0.0
2020-12-31 09:38:00,275.95,275.95,275.55,275.6,121532.0,0.0
2020-12-31 09:39:00,275.55,275.8,275.45,275.6,195650.0,0.0
2020-12-31 09:40:00,275.65,275.85,275.55,275.7,74280.0,0.0
2020-12-31 09:41:00,275.55,275.7,275.45,275.6,85617.0,0.0
2020-12-31 09:42:00,275.6,275.65,275.5,275.65,51347.0,0.0
2020-12-31 09:43:00,275.6,275.75,275.5,275.5,43869.0,0.0
2020-12-31 09:44:00,275.5,276.0,275.5,275.95,101118.0,0.0
2020-12-31 09:45:00,275.95,276.4,275.95,276.05,247351.0,0.0
2020-12-31 09:46:00,276.15,276.2,276.0,276.15,52924.0,0.0
2020-12-31 09:47:00,276.15,276.3,275.9,276.1,168647.0,0.0
2020-12-31 09:48:00,276.1,276.1,275.9,275.95,91894.0,0.0
2020-12-31 09:49:00,276.0,276.1,275.95,276.05,25590.0,0.0
2020-12-31 09:50:00,276.0,276.25,276.0,276.2,58015.0,0.0
2020-12-31 09:51:00,276.25,276.25,276.0,276.05,54626.0,0.0
2020-12-31 09:52:00,276.0,276.45,276.0,276.4,101554.0,0.0
2020-12-31 09:53:00,276.45,276.7,276.4,276.5,222003.0,0.0
2020-12-31 09:54:00,276.5,276.55,276.3,276.35,120508.0,0.0
2020-12-31 09:55:00,276.4,276.4,276.25,276.25,58130.0,0.0
2020-12-31 09:56:00,276.3,276.5,276.25,276.5,61760.0,0.0
2020-12-31 09:57:00,276.5,276.55,276.4,276.45,84377.0,0.0
2020-12-31 09:58:00,276.45,276.6,276.45,276.55,51378.0,0.0
2020-12-31 09:59:00,276.55,276.6,276.5,276.55,45297.0,0.0
2020-12-31 10:00:00,276.6,276.6,276.3,276.35,79072.0,0.0
2020-12-31 10:01:00,276.35,276.5,276.3,276.4,33165.0,0.0
2020-12-31 10:02:00,276.4,276.45,276.15,276.15,94307.0,0.0
2020-12-31 10:03:00,276.15,276.3,276.05,276.3,52875.0,0.0
2020-12-31 10:04:00,276.3,276.35,276.1,276.2,30292.0,0.0
2020-12-31 10:05:00,276.15,276.2,275.75,275.9,125261.0,0.0
2020-12-31 10:06:00,275.85,275.95,275.8,275.8,49487.0,0.0
2020-12-31 10:07:00,275.8,275.95,275.75,275.75,66065.0,0.0
2020-12-31 10:08:00,275.75,276.35,275.7,276.35,127598.0,0.0
2020-12-31 10:09:00,276.35,277.25,276.3,277.0,497667.0,0.0
2020-12-31 10:10:00,277.0,277.05,276.65,276.8,151321.0,0.0
2020-12-31 10:11:00,276.75,277.0,276.7,276.95,70576.0,0.0
2020-12-31 10:12:00,276.9,277.0,276.7,276.8,63537.0,0.0
2020-12-31 10:13:00,276.8,276.8,276.55,276.75,56947.0,0.0
2020-12-31 10:14:00,276.75,276.95,276.75,276.8,97603.0,0.0
2020-12-31 10:15:00,276.85,276.85,276.55,276.6,69771.0,0.0
2020-12-31 10:16:00,276.6,276.7,276.35,276.45,92496.0,0.0
2020-12-31 10:17:00,276.45,276.5,276.35,276.45,55520.0,0.0
2020-12-31 10:18:00,276.35,276.5,276.25,276.25,99149.0,0.0
2020-12-31 10:19:00,276.25,276.4,276.2,276.4,40576.0,0.0
2020-12-31 10:20:00,276.35,276.45,276.25,276.35,46046.0,0.0
2020-12-31 10:21:00,276.3,276.35,276.2,276.2,13272.0,0.0
2020-12-31 10:22:00,276.25,276.35,276.2,276.2,28103.0,0.0
2020-12-31 10:23:00,276.2,276.25,275.85,276.0,189238.0,0.0
2020-12-31 10:24:00,276.0,276.05,275.9,275.95,28713.0,0.0
2020-12-31 10:25:00,276.0,276.05,275.75,275.85,77693.0,0.0
2020-12-31 10:26:00,275.85,276.0,275.85,276.0,24416.0,0.0
2020-12-31 10:27:00,276.0,276.0,275.95,275.95,59409.0,0.0
2020-12-31 10:28:00,276.0,276.1,275.95,275.95,28023.0,0.0
2020-12-31 10:29:00,275.95,276.05,275.9,275.95,48865.0,0.0
2020-12-31 10:30:00,276.0,276.1,275.95,276.0,34522.0,0.0
2020-12-31 10:31:00,276.0,276.2,276.0,276.2,40770.0,0.0
2020-12-31 10:32:00,276.15,276.4,276.15,276.2,107365.0,0.0
2020-12-31 10:33:00,276.25,276.25,276.05,276.1,83024.0,0.0
2020-12-31 10:34:00,276.1,276.25,276.05,276.1,28725.0,0.0
2020-12-31 10:35:00,276.1,276.35,276.1,276.3,21879.0,0.0
2020-12-31 10:36:00,276.3,276.35,276.2,276.25,37896.0,0.0
2020-12-31 10:37:00,276.25,276.25,276.1,276.15,47887.0,0.0
2020-12-31 10:38:00,276.15,276.2,275.95,275.95,82733.0,0.0
2020-12-31 10:39:00,275.95,276.0,275.9,275.9,37064.0,0.0
2020-12-31 10:40:00,275.9,276.1,275.9,276.0,37372.0,0.0
2020-12-31 10:41:00,276.05,276.1,275.95,275.95,13309.0,0.0
2020-12-31 10:42:00,276.0,276.05,275.95,276.0,17543.0,0.0
2020-12-31 10:43:00,276.05,276.05,275.95,276.0,32742.0,0.0
2020-12-31 10:44:00,276.0,276.25,276.0,276.2,24899.0,0.0
2020-12-31 10:45:00,276.2,276.4,276.0,276.0,61358.0,0.0
2020-12-31 10:46:00,276.0,276.2,276.0,276.2,22221.0,0.0
