,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
3304,4520705,17659,UNIVPHOTO,UNIVERSUS IMAGINGS,0.0,,0.0,0.05,1,EQ,NSE,NSE
3305,2889473,11287,UPL,UPL,0.0,,0.0,0.05,1,EQ,NSE,NSE
3306,594433,2322,URAVI-SM,,0.0,,0.0,0.05,1200,EQ,NSE,NSE
3307,5172993,20207,URJA-BE,URJA GLOBAL,0.0,,0.0,0.05,1,EQ,NSE,NSE
3308,2263041,8840,USHAMART,USHA MARTIN.,0.0,,0.0,0.05,1,EQ,NSE,NSE
3309,134913,527,UTIAMC,UTI ASSET MNGMT CO,0.0,,0.0,0.05,1,EQ,NSE,NSE
3310,5744641,22440,UTIBANKETF,UTIAMC - UTIBANKETF,0.0,,0.0,0.01,1,EQ,NSE,NSE
3311,5498369,21478,UTINEXT50,UTIAMC - UTINEXT50,0.0,,0.0,0.01,1,EQ,NSE,NSE
3312,2690817,10511,UTINIFTETF,UTIAMC - UTINIFTETF,0.0,,0.0,0.01,1,EQ,NSE,NSE
3313,2691841,10515,UTISENSETF,UTIAMC - UTISENSETF,0.0,,0.0,0.01,1,EQ,NSE,NSE
3314,2347009,9168,UTISXN50,UTIAMC - UTISXN50,0.0,,0.0,0.01,1,EQ,NSE,NSE
3315,930305,3634,UTTAMSTL,UTTAM GALVA STEELS,0.0,,0.0,0.05,1,EQ,NSE,NSE
3316,3424257,13376,UTTAMSUGAR,UTTAM SUGAR MILLS.,0.0,,0.0,0.05,1,EQ,NSE,NSE
3317,1521921,5945,UWCSL-SM,,0.0,,0.0,0.05,4000,EQ,NSE,NSE
3318,3781121,14770,V2RETAIL-BE,V2 RETAIL,0.0,,0.0,0.05,1,EQ,NSE,NSE
3319,6194177,24196,VADILALIND,VADILAL INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE
3320,2909185,11364,VAIBHAVGBL,VAIBHAV GLOBAL,0.0,,0.0,0.05,1,EQ,NSE,NSE
3321,4246785,16589,VAISHALI,VAISHALI PHARMA,0.0,,0.0,0.05,1,EQ,NSE,NSE
3322,3415553,13342,VAKRANGEE,VAKRANGEE,0.0,,0.0,0.05,1,EQ,NSE,NSE
3323,84481,330,VALIANTORG,VALIANT ORGANICS,0.0,,0.0,0.05,1,EQ,NSE,NSE
3324,2872321,11220,VARDHACRLC,VARDHAMAN ACRYLICS,0.0,,0.0,0.05,1,EQ,NSE,NSE
3325,933377,3646,VARDMNPOLY,VARDHMAN POLYTEX.,0.0,,0.0,0.05,1,EQ,NSE,NSE
3326,987393,3857,VARROC,VARROC ENGINEERING.,0.0,,0.0,0.05,1,EQ,NSE,NSE
3327,326145,1274,VASA-SM,,0.0,,0.0,0.05,4000,EQ,NSE,NSE
3328,4637185,18114,VASCONEQ-BE,VASCON ENGINEERS,0.0,,0.0,0.05,1,EQ,NSE,NSE
3329,6487041,25340,VASWANI,VASWANI IND,0.0,,0.0,0.05,1,EQ,NSE,NSE
3330,4843777,18921,VBL,VARUN BEVERAGES,0.0,,0.0,0.05,1,EQ,NSE,NSE
3331,4218369,16478,VCL-SM,,0.0,,0.0,0.05,6000,EQ,NSE,NSE
3332,784129,3063,VEDL,VEDANTA,0.0,,0.0,0.05,1,EQ,NSE,NSE
3333,961793,3757,VENKEYS,VENKY'S (INDIA),0.0,,0.0,0.05,1,EQ,NSE,NSE
3334,3547905,13859,VENUSREM,VENUS REMEDIES,0.0,,0.0,0.05,1,EQ,NSE,NSE
3335,682497,2666,VERA-SM,,0.0,,0.0,0.05,1500,EQ,NSE,NSE
3336,4828929,18863,VERTOZ,VERTOZ ADVERTISING,0.0,,0.0,0.05,1,EQ,NSE,NSE
3337,941057,3676,VESUVIUS,VESUVIUS INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE
3338,2214913,8652,VETO,VETO SWITCHGEAR CABLE,0.0,,0.0,0.05,1,EQ,NSE,NSE
3339,3932673,15362,VGUARD,V-GUARD IND.,0.0,,0.0,0.05,1,EQ,NSE,NSE
3340,3044353,11892,VHL,VARDHMAN HOLDINGS,0.0,,0.0,0.05,1,EQ,NSE,NSE
3341,3816193,14907,VICEROY-BE,VICEROY HOTELS,0.0,,0.0,0.05,1,EQ,NSE,NSE
3342,1171457,4576,VIDEOIND-BZ,,0.0,,0.0,0.05,1,EQ,NSE,NSE
3343,3465217,13536,VIDHIING,VIDHI SPCLTY F INGRDNTS L,0.0,,0.0,0.05,1,EQ,NSE,NSE
3344,4529921,17695,VIJIFIN-BE,VIJI FINANCE,0.0,,0.0,0.05,1,EQ,NSE,NSE
3345,6593537,25756,VIKASECO,VIKAS ECOTECH,0.0,,0.0,0.05,1,EQ,NSE,NSE
3346,2542337,9931,VIKASMCORP,VIKAS MULTICORP,0.0,,0.0,0.05,1,EQ,NSE,NSE
3347,3109889,12148,VIKASPROP,VIKAS PROP & GRANITE,0.0,,0.0,0.05,1,EQ,NSE,NSE
3348,944129,3688,VIKASWSP,VIKAS WSP,0.0,,0.0,0.05,1,EQ,NSE,NSE
3349,3353857,13101,VIMTALABS,VIMTA LABS,0.0,,0.0,0.05,1,EQ,NSE,NSE
3350,4445185,17364,VINATIORGA,VINATI ORGANICS,0.0,,0.0,0.05,1,EQ,NSE,NSE
